freeze,dataset,test_attack,test_eps,acc,adv_acc
00001,cifar10,PGD_Linf,3.0,87.19,0.02
00010,cifar10,PGD_Linf,3.0,89.11,0.03
00011,cifar10,PGD_Linf,3.0,89.56,0.04
00100,cifar10,PGD_Linf,3.0,89.86,0.06
00101,cifar10,PGD_Linf,3.0,89.97,0.07
00110,cifar10,PGD_Linf,3.0,90.37,0.07
00111,cifar10,PGD_Linf,3.0,90.2,0.05
01000,cifar10,PGD_Linf,3.0,89.39,0.05
01001,cifar10,PGD_Linf,3.0,89.8,0.06
01010,cifar10,PGD_Linf,3.0,90.16,0.09
10101,cifar10,PGD_Linf,3.0,90.14,0.06
10110,cifar10,PGD_Linf,3.0,90.45,0.08
10111,cifar10,PGD_Linf,3.0,90.66,0.08
11000,cifar10,PGD_Linf,3.0,90.0,0.07
11001,cifar10,PGD_Linf,3.0,90.5,0.07
11010,cifar10,PGD_Linf,3.0,90.5,0.09
11011,cifar10,PGD_Linf,3.0,90.44,0.06
11100,cifar10,PGD_Linf,3.0,90.58,0.1
11101,cifar10,PGD_Linf,3.0,90.05,0.08
11110,cifar10,PGD_Linf,3.0,90.65,0.1
11111,cifar10,PGD_Linf,3.0,90.63,0.12
00001,cifar100,PGD_Linf,3.0,65.23,0.15
00010,cifar100,PGD_Linf,3.0,66.26,0.23
00011,cifar100,PGD_Linf,3.0,65.99,0.24
00100,cifar100,PGD_Linf,3.0,66.74,0.28
00101,cifar100,PGD_Linf,3.0,66.66,0.3
00110,cifar100,PGD_Linf,3.0,66.93,0.27
00111,cifar100,PGD_Linf,3.0,66.94,0.27
01000,cifar100,PGD_Linf,3.0,67.77,0.25
01001,cifar100,PGD_Linf,3.0,67.45,0.29
01010,cifar100,PGD_Linf,3.0,68.08,0.4
10101,cifar100,PGD_Linf,3.0,67.73,0.29
10110,cifar100,PGD_Linf,3.0,68.18,0.37
10111,cifar100,PGD_Linf,3.0,68.11,0.31
11000,cifar100,PGD_Linf,3.0,68.66,0.61
11001,cifar100,PGD_Linf,3.0,68.75,0.46
11010,cifar100,PGD_Linf,3.0,68.13,0.45
11011,cifar100,PGD_Linf,3.0,68.19,0.41
11100,cifar100,PGD_Linf,3.0,68.15,0.52
11101,cifar100,PGD_Linf,3.0,68.15,0.47
11110,cifar100,PGD_Linf,3.0,68.63,0.53
11111,cifar100,PGD_Linf,3.0,68.59,0.48
00001,cub,PGD_Linf,3.0,35.8192,0.2503
00010,cub,PGD_Linf,3.0,36.2362,0.4838
00011,cub,PGD_Linf,3.0,35.3687,0.4671
00100,cub,PGD_Linf,3.0,36.2362,0.5506
00101,cub,PGD_Linf,3.0,36.4531,0.4671
00110,cub,PGD_Linf,3.0,36.7201,0.5672
00111,cub,PGD_Linf,3.0,36.9036,0.5672
01000,cub,PGD_Linf,3.0,36.353,0.7007
01001,cub,PGD_Linf,3.0,36.1361,0.5672
01010,cub,PGD_Linf,3.0,36.1862,0.634
10101,cub,PGD_Linf,3.0,36.9369,0.7841
10110,cub,PGD_Linf,3.0,37.3207,0.7841
10111,cub,PGD_Linf,3.0,37.5375,0.7341
11000,cub,PGD_Linf,3.0,37.4374,0.9176
11001,cub,PGD_Linf,3.0,37.354,0.6673
11010,cub,PGD_Linf,3.0,37.1538,0.8008
11011,cub,PGD_Linf,3.0,37.5209,0.7841
11100,cub,PGD_Linf,3.0,37.0037,1.001
11101,cub,PGD_Linf,3.0,37.6543,0.8842
11110,cub,PGD_Linf,3.0,37.6877,0.9009
11111,cub,PGD_Linf,3.0,37.9379,0.8175
00001,svhn,PGD_Linf,3.0,88.34,0.03
00010,svhn,PGD_Linf,3.0,90.3,0.13
00011,svhn,PGD_Linf,3.0,91.22,0.14
00100,svhn,PGD_Linf,3.0,91.1,0.07
00101,svhn,PGD_Linf,3.0,92.07,0.17
00110,svhn,PGD_Linf,3.0,92.09,0.29
00111,svhn,PGD_Linf,3.0,92.48,0.38
01000,svhn,PGD_Linf,3.0,90.61,0.23
01001,svhn,PGD_Linf,3.0,92.07,0.2
01010,svhn,PGD_Linf,3.0,92.26,0.56
10101,svhn,PGD_Linf,3.0,92.77,1.85
10110,svhn,PGD_Linf,3.0,92.77,2.04
10111,svhn,PGD_Linf,3.0,93.42,2.4
11000,svhn,PGD_Linf,3.0,91.65,2.09
11001,svhn,PGD_Linf,3.0,92.73,2.21
11010,svhn,PGD_Linf,3.0,93.0,3.23
11011,svhn,PGD_Linf,3.0,93.38,4.1
11100,svhn,PGD_Linf,3.0,92.48,4.0
11101,svhn,PGD_Linf,3.0,93.18,3.68
11110,svhn,PGD_Linf,3.0,93.18,3.05
11111,svhn,PGD_Linf,3.0,93.59,3.23
